"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Daniel Brown","TE","NYJ","7","2","1.60","2","3.50","79.80%","1.00","13.52","29","0.01","0","4.90","3.00","1.90","3.90","2.20","1.70","22","11.00","4.90","3.00","1.90","3.90","2.20","1.70","0.00","0.00","0.00","0.00","2","0","0","0"
"Giovanni Ricci","RB","CAR","23","2","0.91","0","11.50","45.30%","0.00","13.49","0","0.47","0","0.00","5.05","-5.10","0.00","4.60","-4.60","0","","0.00","5.05","-5.10","0.00","4.60","-4.60","0.00","0.00","0.00","0.00","2","0","0","0"
"Geronimo Allison","WR","DET","20","2","1.12","0","10.00","55.95%","0.00","13.48","0","0.16","0","0.00","3.43","-3.40","0.00","2.87","-2.90","0","","0.00","3.43","-3.40","0.00","2.87","-2.90","0.00","0.00","0.00","0.00","2","0","0","0"
"Luke Stocker","TE","MIN","6","2","1.58","2","3.00","78.90%","1.00","13.47","12","0.00","0","3.20","2.94","0.30","2.20","2.15","0.00","6","3.00","3.20","2.94","0.30","2.20","2.15","0.00","0.00","0.00","0.00","0.00","2","0","0","0"
"Michael Burton","RB","KC","-5","3","2.36","3","-1.70","78.60%","1.00","13.40","31","0.45","0","6.10","6.43","-0.30","4.60","5.25","-0.60","36","12.00","14.70","11.82","2.90","13.20","10.64","2.60","24.08","0.50","8.60","5.40","11","8","26","1"
"J.J. Arcega-Whiteside","WR","PHI","7","2","1.53","2","3.50","76.65%","1.00","13.37","36","0.00","0","5.60","2.87","2.70","4.60","2.10","2.50","29","14.50","5.60","2.87","2.70","4.60","2.10","2.50","0.00","0.00","0.00","0.00","2","0","0","0"
"Derek Carrier","TE","LV","7","2","1.54","2","3.50","76.80%","1.00","13.36","13","0.00","0","3.30","2.87","0.40","2.30","2.10","0.20","6","3.00","3.30","2.87","0.40","2.30","2.10","0.20","0.00","0.00","0.00","0.00","2","0","0","0"
"Kylin Hill","RB","GB","3","2","1.65","1","1.50","82.50%","0.50","13.19","5","0.01","0","1.50","3.04","-1.50","1.00","2.22","-1.20","7","7.00","3.90","8.07","-4.20","3.40","7.24","-3.80","46.50","0.06","2.40","5.03","12","10","24","0"
"Devin Smith","WR","JAX","19","1","0.54","0","19.00","54.00%","0.00","12.87","0","0.00","0","0.00","1.84","-1.80","0.00","1.57","-1.60","0","","0.00","1.84","-1.80","0.00","1.57","-1.60","0.00","0.00","0.00","0.00","1","0","0","0"
"Isaiah Coulter","WR","CHI","22","1","0.44","0","22.00","44.40%","0.00","12.83","0","0.01","0","0.00","1.82","-1.80","0.00","1.59","-1.60","0","","0.00","1.82","-1.80","0.00","1.59","-1.60","0.00","0.00","0.00","0.00","1","0","0","0"
"Seth Williams","WR","DEN","30","1","0.35","1","30.00","34.50%","1.00","12.78","34","0.07","0","4.40","2.05","2.30","3.90","1.88","2.00","0","0.00","4.40","2.05","2.30","3.90","1.88","2.00","0.00","0.00","0.00","0.00","1","0","0","0"
"Mike Boone","RB","DEN","-2","2","1.67","2","-1.00","83.25%","1.00","12.59","22","0.01","0","4.20","2.96","1.20","3.20","2.13","1.10","24","12.00","7.70","4.91","2.80","6.70","4.08","2.60","17.56","0.03","3.50","1.95","6","4","35","0"
"Jesper Horsted","TE","CHI","31","3","1.15","2","10.30","38.40%","0.67","12.49","21","1.12","2","16.10","9.14","7.00","15.10","8.56","6.50","0","0.00","16.10","9.14","7.00","15.10","8.56","6.50","0.00","0.00","0.00","0.00","3","0","0","0"
"Ryquell Armstead","RB","JAX","7","2","1.51","1","3.50","75.30%","0.50","12.33","6","0.00","0","1.60","2.76","-1.20","1.10","2.00","-0.90","0","0.00","4.40","5.65","-1.20","3.90","4.90","-1.00","27.67","0.02","2.80","2.89","8","6","28","0"
"Adam Prentice","RB","NO","1","2","1.57","2","0.50","78.45%","1.00","12.14","14","0.01","0","3.40","2.82","0.60","2.40","2.03","0.40","13","6.50","3.80","3.61","0.20","2.80","2.83","0.00","7.60","0.01","0.40","0.80","4","2","4","0"
"Jeremy Sprinkle","TE","DAL","6","2","1.57","2","3.00","78.30%","1.00","11.92","21","0.09","0","4.10","3.31","0.80","3.10","2.53","0.60","15","7.50","4.10","3.31","0.80","3.10","2.53","0.60","0.00","0.00","0.00","0.00","2","0","0","0"
"Rodney Adams","WR","CHI","15","1","0.59","0","15.00","58.50%","0.00","11.89","0","0.01","0","0.00","1.81","-1.80","0.00","1.52","-1.50","0","","0.00","1.81","-1.80","0.00","1.52","-1.50","0.00","0.00","0.00","0.00","1","0","0","0"
"Dwayne Washington","RB","NO","2","2","1.56","2","1.00","78.15%","1.00","11.66","12","0.00","0","3.20","2.75","0.50","2.20","1.97","0.20","10","5.00","4.80","4.70","0.10","3.80","3.92","-0.10","18.48","0.02","1.60","1.96","6","4","16","0"
