"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Justin Jefferson","WR","MIN","1,970","160","95.64","103","12.31","59.77%","0.64","1,455.29","1,509","8.55","9","307.90","292.46","15.40","256.40","244.64","11.80","471","4.57","308.90","295.23","13.70","257.40","247.41","10.00","23.22","0.07","1.00","2.77","165","5","10","0"
"Cooper Kupp","WR","LAR","1,563","184","120.81","138","8.49","65.66%","0.75","1,446.74","1,829","10.64","15","410.90","329.33","81.60","341.90","268.92","73.00","806","5.84","410.90","330.86","80.00","341.90","270.46","71.40","12.26","0.05","0.00","1.53","187","3","0","0"
"D.J. Moore","WR","CAR","1,627","152","96.53","85","10.70","63.51%","0.56","1,354.20","1,068","5.12","3","209.80","262.65","-52.90","167.30","214.39","-47.10","380","4.47","213.30","265.94","-52.60","170.80","217.68","-46.90","30.93","0.03","3.50","3.29","159","7","35","0"
"Tyreek Hill","WR","KC","1,617","156","100.30","110","10.37","64.30%","0.71","1,319.73","1,237","7.17","9","287.70","275.30","12.40","232.70","225.14","7.60","443","4.03","297.30","279.96","17.30","242.30","229.80","12.50","39.41","0.12","9.60","4.66","165","9","96","0"
"Davante Adams","WR","GB","1,557","162","102.95","117","9.61","63.55%","0.72","1,294.06","1,498","9.45","11","332.80","289.04","43.80","274.30","237.56","36.70","580","4.96","332.80","289.04","43.80","274.30","237.56","36.70","0.00","0.00","0.00","0.00","162","0","0","0"
"Diontae Johnson","WR","PIT","1,384","159","105.06","100","8.70","66.08%","0.63","1,266.29","1,110","7.32","8","259.00","275.58","-16.60","209.00","223.05","-14.10","502","5.02","264.30","277.81","-13.50","214.30","225.28","-11.00","21.05","0.02","5.30","2.23","164","5","53","0"
"Stefon Diggs","WR","BUF","1,709","150","90.05","94","11.39","60.04%","0.63","1,236.87","1,144","10.42","9","262.40","276.28","-13.90","215.40","231.26","-15.90","297","3.16","262.40","276.28","-13.90","215.40","231.26","-15.90","0.00","0.00","0.00","0.00","150","0","0","0"
"Keenan Allen","WR","LAC","1,262","149","98.87","100","8.47","66.36%","0.67","1,194.08","1,086","7.00","6","244.60","260.30","-15.70","194.60","210.87","-16.30","329","3.29","244.60","260.30","-15.70","194.60","210.87","-16.30","0.00","0.00","0.00","0.00","149","0","0","0"
"Marquise Brown","WR","BAL","1,562","138","87.44","88","11.32","63.36%","0.64","1,184.47","981","7.15","6","222.10","248.80","-26.70","178.10","205.08","-27.00","379","4.31","222.60","249.35","-26.80","178.60","205.63","-27.00","5.13","0.01","0.50","0.55","139","1","5","0"
"Mark Andrews","TE","BAL","1,380","138","86.77","99","10.00","62.87%","0.72","1,146.75","1,276","7.42","9","280.60","245.94","34.70","231.10","202.56","28.50","424","4.28","280.60","245.94","34.70","231.10","202.56","28.50","0.00","0.00","0.00","0.00","138","0","0","0"
"Terry McLaurin","WR","WAS","1,614","124","75.33","73","13.02","60.75%","0.59","1,138.82","960","5.99","5","199.00","225.13","-26.10","162.50","187.47","-25.00","273","3.74","200.20","225.66","-25.50","163.70","188.00","-24.30","4.72","0.01","1.20","0.53","125","1","12","0"
"Darnell Mooney","WR","CHI","1,446","124","78.72","69","11.66","63.48%","0.56","1,132.04","929","5.09","4","185.90","222.46","-36.60","151.40","183.10","-31.70","289","4.19","195.10","225.67","-30.60","160.60","186.31","-25.70","24.86","0.12","9.20","3.21","130","6","32","1"
"Brandin Cooks","WR","HOU","1,369","130","85.34","87","10.53","65.64%","0.67","1,100.81","1,009","5.46","6","223.90","228.15","-4.20","180.40","185.48","-5.10","348","4.00","226.00","229.14","-3.10","182.50","186.47","-4.00","9.54","0.01","2.10","0.99","132","2","21","0"
"Ja'Marr Chase","WR","CIN","1,597","124","73.17","79","12.88","59.01%","0.64","1,084.23","1,429","8.50","13","299.90","232.59","67.30","260.40","196.00","64.40","622","7.87","302.00","236.51","65.50","262.50","199.93","62.60","29.56","0.16","2.10","3.93","131","7","21","0"
"DK Metcalf","WR","SEA","1,493","118","70.38","70","12.65","59.64%","0.59","1,044.86","909","7.43","12","232.90","219.46","13.40","197.90","184.27","13.60","309","4.41","233.50","220.03","13.50","198.50","184.84","13.70","4.27","0.02","0.60","0.57","119","1","6","0"
"Jaylen Waddle","WR","MIA","963","133","91.43","99","7.24","68.74%","0.74","1,034.26","988","4.13","5","227.80","219.62","8.20","178.30","173.90","4.40","421","4.25","234.10","223.21","10.90","184.60","177.49","7.10","4.96","0.52","6.30","3.59","135","2","3","1"
"Michael Pittman Jr.","WR","IND","1,190","122","79.10","82","9.75","64.84%","0.67","1,025.41","1,018","5.80","5","213.80","216.43","-2.60","172.80","176.87","-4.10","329","4.01","218.20","218.93","-0.70","177.20","179.38","-2.20","22.17","0.05","4.40","2.50","127","5","44","0"
"Travis Kelce","TE","KC","964","129","87.53","88","7.47","67.85%","0.68","1,011.26","1,100","4.68","8","246.00","216.73","29.30","202.00","172.97","29.00","554","6.30","252.30","221.06","31.20","208.30","177.30","31.00","2.42","0.68","6.30","4.33","131","2","3","1"
"CeeDee Lamb","WR","DAL","1,207","118","75.17","77","10.23","63.70%","0.65","999.36","1,071","5.10","6","220.10","205.74","14.40","181.60","168.15","13.40","422","5.48","227.70","211.17","16.50","189.20","173.59","15.60","35.46","0.32","7.60","5.44","127","9","76","0"
"Marvin Jones Jr.","WR","JAX","1,340","112","67.48","66","11.96","60.25%","0.59","991.23","744","7.70","3","158.40","212.81","-54.40","125.40","179.07","-53.70","122","1.85","158.40","212.81","-54.40","125.40","179.07","-53.70","0.00","0.00","0.00","0.00","112","0","0","0"
"Chris Godwin","WR","TB","931","127","86.70","98","7.33","68.27%","0.77","990.84","1,103","5.52","5","238.30","218.89","19.40","189.30","175.54","13.80","586","5.98","246.40","222.85","23.60","197.40","179.50","17.90","15.09","0.41","8.10","3.96","131","4","21","1"
"Jakobi Meyers","WR","NE","1,133","118","76.76","79","9.60","65.05%","0.67","985.92","796","4.34","2","170.60","201.36","-30.80","131.10","162.98","-31.90","219","2.77","171.50","201.90","-30.40","132.00","163.52","-31.50","4.31","0.02","0.90","0.54","119","1","9","0"
"Deebo Samuel","WR","SF","976","115","77.89","73","8.49","67.73%","0.64","984.05","1,310","3.17","6","240.00","195.32","44.70","203.50","156.37","47.10","719","9.85","314.00","226.26","87.70","277.50","187.31","90.20","219.90","1.49","74.00","30.94","166","51","320","7"
"Mike Evans","WR","TB","1,448","107","61.49","68","13.53","57.47%","0.64","978.76","946","7.70","12","234.60","205.58","29.00","200.60","174.83","25.80","201","2.96","235.60","206.12","29.50","201.60","175.38","26.20","5.11","0.01","1.00","0.55","108","1","10","0"
"Tyler Lockett","WR","SEA","1,485","102","59.46","68","14.56","58.29%","0.67","970.22","1,077","4.76","6","211.70","185.06","26.60","177.70","155.33","22.40","256","3.76","212.40","185.51","26.90","178.40","155.78","22.60","4.29","0.00","0.70","0.45","103","1","7","0"
"Tee Higgins","WR","CIN","1,327","110","66.05","74","12.06","60.04%","0.67","968.83","1,091","6.18","6","219.10","200.03","19.10","182.10","167.01","15.10","290","3.92","219.10","200.03","19.10","182.10","167.01","15.10","0.00","0.00","0.00","0.00","110","0","0","0"
"Kyle Pitts","TE","ATL","1,150","105","65.81","66","10.95","62.68%","0.63","945.47","1,018","4.35","1","173.80","186.44","-12.60","140.80","153.54","-12.70","308","4.67","173.80","186.44","-12.60","140.80","153.54","-12.70","0.00","0.00","0.00","0.00","105","0","0","0"
"Mike Gesicki","TE","MIA","1,015","109","71.29","71","9.31","65.40%","0.65","937.41","758","3.75","2","158.80","187.55","-28.70","123.30","151.90","-28.60","214","3.01","158.80","187.55","-28.70","123.30","151.90","-28.60","0.00","0.00","0.00","0.00","109","0","0","0"
"DeVonta Smith","WR","PHI","1,411","100","58.37","61","14.11","58.37%","0.61","929.21","875","6.29","5","178.50","189.02","-10.50","148.00","159.83","-11.80","207","3.39","178.50","189.02","-10.50","148.00","159.83","-11.80","0.00","0.00","0.00","0.00","100","0","0","0"
"Courtland Sutton","WR","DEN","1,490","95","54.09","57","15.68","56.94%","0.60","918.33","763","5.15","2","145.30","176.84","-31.50","116.80","149.79","-33.00","126","2.21","145.30","176.84","-31.50","116.80","149.79","-33.00","0.00","0.00","0.00","0.00","95","0","0","0"
"Mike Williams","WR","LAC","1,225","112","68.95","67","10.94","61.56%","0.60","912.82","1,027","8.27","8","217.70","209.87","7.80","184.20","175.39","8.80","375","5.60","217.70","209.87","7.80","184.20","175.39","8.80","0.00","0.00","0.00","0.00","112","0","0","0"
"Hunter Renfrow","WR","LV","804","123","85.19","99","6.54","69.26%","0.81","911.53","1,025","6.19","7","243.50","213.48","30.00","194.00","170.89","23.10","451","4.56","244.20","214.57","29.60","194.70","171.98","22.70","10.01","0.02","0.70","1.09","125","2","7","0"
"Robby Anderson","WR","CAR","1,073","101","64.46","46","10.62","63.82%","0.46","885.03","469","3.72","4","116.90","175.30","-58.40","93.90","143.07","-49.20","144","3.13","120.50","177.36","-56.90","97.50","145.13","-47.60","11.80","0.15","3.60","2.06","104","3","36","0"
"A.J. Brown","WR","TEN","1,143","99","60.78","59","11.55","61.40%","0.60","873.59","801","5.22","4","163.10","179.45","-16.30","133.60","149.06","-15.50","223","3.78","164.10","180.36","-16.30","134.60","149.97","-15.40","7.46","0.03","1.00","0.91","101","2","10","0"
"Chase Claypool","WR","PIT","1,154","98","59.74","54","11.78","60.96%","0.55","862.74","811","5.03","1","141.10","176.22","-35.10","114.10","146.35","-32.20","274","5.07","147.40","184.37","-37.00","120.40","154.50","-34.10","44.40","0.62","6.30","8.15","109","11","63","0"
"Christian Kirk","WR","ARI","1,137","100","62.02","75","11.37","62.02%","0.75","855.32","955","5.14","5","200.50","178.40","22.10","163.00","147.39","15.60","240","3.20","201.60","178.83","22.80","164.10","147.82","16.30","4.33","0.00","1.10","0.43","101","1","11","0"
"Amon-Ra St. Brown","WR","DET","750","109","75.23","82","6.88","69.01%","0.75","834.70","803","3.44","4","186.30","179.34","7.00","145.30","141.73","3.60","372","4.54","197.20","182.79","14.40","156.20","145.18","11.00","30.37","0.07","10.90","3.45","115","6","49","1"
"Amari Cooper","WR","DAL","1,078","97","59.99","63","11.11","61.85%","0.65","821.47","786","5.46","8","189.60","174.87","14.70","158.10","144.88","13.20","218","3.46","189.60","174.87","14.70","158.10","144.88","13.20","0.00","0.00","0.00","0.00","97","0","0","0"
"Van Jefferson","WR","LAR","1,169","86","50.52","48","13.59","58.74%","0.56","788.79","771","6.36","6","161.10","167.57","-6.50","137.10","142.31","-5.20","211","4.40","163.10","168.68","-5.60","139.10","143.42","-4.30","9.34","0.03","2.00","1.11","88","2","20","0"
"Cole Beasley","WR","BUF","604","107","76.90","78","5.64","71.87%","0.73","787.26","662","2.76","1","150.20","172.21","-22.00","111.20","133.76","-22.60","294","3.77","150.20","172.21","-22.00","111.20","133.76","-22.60","0.00","0.00","0.00","0.00","107","0","0","0"
"Adam Thielen","WR","MIN","903","95","60.87","67","9.51","64.07%","0.71","776.44","726","5.18","10","199.60","169.61","30.00","166.10","139.17","26.90","239","3.57","199.80","170.16","29.60","166.30","139.72","26.60","4.44","0.02","0.20","0.55","96","1","2","0"
"Dalton Schultz","TE","DAL","714","101","68.66","75","7.07","67.98%","0.74","753.26","787","4.09","6","189.70","168.54","21.20","152.20","134.21","18.00","347","4.63","189.70","168.54","21.20","152.20","134.21","18.00","0.00","0.00","0.00","0.00","101","0","0","0"
"Zach Ertz","TE","ARI","730","102","68.43","67","7.16","67.09%","0.66","752.99","679","6.27","5","164.90","181.37","-16.50","131.40","147.15","-15.80","320","4.78","165.30","182.74","-17.40","131.80","148.53","-16.70","2.63","0.19","0.40","1.38","103","1","4","0"
"Marquez Callaway","WR","NO","1,044","83","49.55","46","12.58","59.70%","0.55","747.15","698","4.23","6","151.80","149.67","2.10","128.80","124.90","3.90","144","3.13","151.80","149.67","2.10","128.80","124.90","3.90","0.00","0.00","0.00","0.00","83","0","0","0"
"Tyler Boyd","WR","CIN","728","94","63.90","67","7.74","67.98%","0.71","746.00","828","2.56","5","179.80","153.83","26.00","146.30","121.88","24.40","389","5.81","182.00","154.73","27.30","148.50","122.79","25.70","8.68","0.01","2.20","0.90","96","2","22","0"
"Darren Waller","TE","LV","850","84","53.87","53","10.12","64.12%","0.63","724.36","643","3.87","2","129.30","149.50","-20.20","102.80","122.56","-19.80","225","4.25","129.30","149.50","-20.20","102.80","122.56","-19.80","0.00","0.00","0.00","0.00","84","0","0","0"
"A.J. Green","WR","ARI","1,026","83","47.77","50","12.36","57.56%","0.60","720.40","825","6.11","3","150.50","156.49","-6.00","125.50","132.60","-7.10","173","3.46","150.50","156.49","-6.00","125.50","132.60","-7.10","0.00","0.00","0.00","0.00","83","0","0","0"
"Elijah Moore","WR","NYJ","899","77","49.05","43","11.68","63.70%","0.56","714.77","538","3.09","5","126.80","139.07","-12.30","105.30","114.54","-9.20","207","4.81","138.20","141.64","-3.40","116.70","117.12","-0.40","19.65","0.10","11.40","2.58","82","5","54","1"
"Odell Beckham Jr.","WR","LAR","1,023","77","45.86","42","13.29","59.56%","0.55","707.27","519","5.31","5","123.90","148.43","-24.50","102.90","125.50","-22.60","150","3.57","125.30","149.29","-24.00","104.30","126.36","-22.10","8.45","0.00","1.40","0.86","79","2","14","0"
"George Kittle","TE","SF","747","87","57.91","66","8.59","66.56%","0.76","702.05","900","3.54","6","192.00","149.33","42.70","159.00","120.38","38.60","442","6.70","194.00","150.82","43.20","161.00","121.86","39.10","13.95","0.02","2.00","1.48","90","3","20","0"
"Emmanuel Sanders","WR","BUF","1,077","72","40.59","42","14.96","56.37%","0.58","700.90","626","5.10","4","128.60","141.31","-12.70","107.60","121.01","-13.40","85","2.02","131.70","142.38","-10.70","110.70","122.08","-11.40","8.89","0.03","3.10","1.07","74","2","31","0"
"Laviska Shenault Jr.","WR","JAX","515","93","66.55","58","5.54","71.56%","0.62","690.41","557","2.39","0","113.70","149.94","-36.20","84.70","116.67","-32.00","357","6.16","117.80","155.21","-37.40","88.80","121.93","-33.10","48.33","0.07","4.10","5.26","104","11","41","0"
"Kenny Golladay","WR","NYG","981","71","40.16","34","13.82","56.56%","0.48","679.95","499","4.10","0","83.90","132.75","-48.90","66.90","112.68","-45.80","111","3.26","83.90","132.75","-48.90","66.90","112.68","-45.80","0.00","0.00","0.00","0.00","71","0","0","0"
"Russell Gage","WR","ATL","668","81","55.32","57","8.25","68.30%","0.70","668.16","645","2.85","3","139.50","139.25","0.20","111.00","111.59","-0.60","215","3.77","139.50","139.25","0.20","111.00","111.59","-0.60","0.00","0.00","0.00","0.00","81","0","0","0"
"Cole Kmet","TE","CHI","673","88","58.39","56","7.65","66.35%","0.64","665.81","564","3.54","0","112.40","146.24","-33.80","84.40","117.05","-32.60","227","4.05","112.40","149.49","-37.10","84.40","120.30","-35.90","0.27","0.54","0.00","3.25","89","1","0","0"
"Rob Gronkowski","TE","TB","783","79","49.60","48","9.91","62.78%","0.61","663.99","665","4.64","6","150.50","143.85","6.70","126.50","119.05","7.50","288","6.00","150.50","143.85","6.70","126.50","119.05","7.50","0.00","0.00","0.00","0.00","79","0","0","0"
"T.J. Hockenson","TE","DET","616","84","57.28","61","7.33","68.19%","0.73","648.14","583","3.07","4","143.30","140.53","2.80","112.80","111.89","0.90","199","3.26","143.30","140.53","2.80","112.80","111.89","0.90","0.00","0.00","0.00","0.00","84","0","0","0"
"Jarvis Landry","WR","CLE","625","79","53.35","46","7.91","67.53%","0.58","646.28","508","2.15","1","102.80","130.86","-28.10","79.80","104.19","-24.40","260","5.65","118.80","136.09","-17.30","95.80","109.41","-13.60","20.55","0.53","16.00","5.22","85","6","40","2"
"Tim Patrick","WR","DEN","875","75","44.92","47","11.67","59.90%","0.63","645.09","639","4.64","5","140.90","137.30","3.60","117.40","114.84","2.60","171","3.64","140.90","137.30","3.60","117.40","114.84","2.60","0.00","0.00","0.00","0.00","75","0","0","0"
"Noah Fant","TE","DEN","522","88","61.81","67","5.93","70.24%","0.76","640.68","654","2.95","4","156.40","143.58","12.80","122.90","112.68","10.20","308","4.60","156.40","143.58","12.80","122.90","112.68","10.20","0.00","0.00","0.00","0.00","88","0","0","0"
"K.J. Osborn","WR","MIN","786","78","49.72","49","10.08","63.75%","0.63","639.90","634","3.53","6","148.40","134.89","13.50","123.90","110.03","13.90","179","3.65","149.40","135.45","14.00","124.90","110.59","14.30","5.38","0.00","1.00","0.56","79","1","10","0"
"Dallas Goedert","TE","PHI","643","76","50.91","56","8.46","66.99%","0.74","633.08","830","2.46","4","163.00","128.98","34.00","135.00","103.53","31.50","386","6.89","163.00","128.98","34.00","135.00","103.53","31.50","0.00","0.00","0.00","0.00","76","0","0","0"
"Brandon Aiyuk","WR","SF","729","77","47.94","50","9.47","62.26%","0.65","631.03","719","4.52","5","151.90","138.15","13.80","126.90","114.17","12.70","309","6.18","153.60","140.53","13.10","128.60","116.56","12.00","22.97","0.02","1.70","2.39","82","5","17","0"
"DeVante Parker","WR","MIA","818","69","42.29","38","11.86","61.30%","0.55","623.15","503","2.82","2","100.30","121.55","-21.20","81.30","100.40","-19.10","100","2.63","100.30","121.55","-21.20","81.30","100.40","-19.10","0.00","0.00","0.00","0.00","69","0","0","0"
"Zay Jones","WR","LV","881","62","37.84","42","14.21","61.04%","0.68","585.95","519","2.84","1","99.90","113.50","-13.60","78.90","94.58","-15.70","167","3.98","100.20","114.40","-14.20","79.20","95.48","-16.30","8.66","0.01","0.30","0.90","64","2","3","0"
"Tyler Conklin","TE","MIN","451","83","58.42","59","5.43","70.38%","0.71","576.56","587","4.07","3","135.70","140.52","-4.80","106.20","111.31","-5.10","314","5.32","135.70","140.52","-4.80","106.20","111.31","-5.10","0.00","0.00","0.00","0.00","83","0","0","0"
"Corey Davis","WR","NYJ","770","59","36.55","34","13.05","61.95%","0.58","570.93","492","2.14","4","107.20","106.46","0.70","90.20","88.19","2.00","124","3.65","107.20","106.46","0.70","90.20","88.19","2.00","0.00","0.00","0.00","0.00","59","0","0","0"
"Jared Cook","TE","LAC","591","76","49.96","44","7.78","65.74%","0.58","570.71","484","4.61","4","116.40","134.70","-18.30","94.40","109.72","-15.30","214","4.86","116.40","134.70","-18.30","94.40","109.72","-15.30","0.00","0.00","0.00","0.00","76","0","0","0"
"Donovan Peoples-Jones","WR","CLE","890","54","30.90","31","16.48","57.23%","0.57","565.20","559","2.18","3","104.90","100.49","4.40","89.40","85.04","4.40","111","3.58","104.90","100.49","4.40","89.40","85.04","4.40","0.00","0.00","0.00","0.00","54","0","0","0"
"Nelson Agholor","WR","NE","854","61","35.81","36","14.00","58.71%","0.59","563.70","450","3.10","3","99.00","110.80","-11.80","81.00","92.89","-11.90","100","2.78","100.10","112.08","-12.00","82.10","94.17","-12.10","12.43","0.01","1.10","1.28","64","3","11","0"
"Robert Woods","WR","LAR","563","69","45.11","45","8.16","65.37%","0.65","556.62","556","3.93","4","124.60","124.32","0.30","102.10","101.77","0.30","198","4.40","135.20","128.42","6.80","112.70","105.87","6.80","36.68","0.07","10.60","4.10","77","8","46","1"
"Kalif Raymond","WR","DET","668","66","42.74","44","10.12","64.75%","0.67","549.95","485","3.23","3","110.50","117.11","-6.60","88.50","95.74","-7.20","202","4.59","112.00","118.71","-6.70","90.00","97.35","-7.30","14.43","0.03","1.50","1.60","69","3","15","0"
"Mecole Hardman","WR","KC","565","72","50.21","51","7.85","69.74%","0.71","547.22","590","3.51","2","122.00","125.99","-4.00","96.50","100.88","-4.40","403","7.90","125.60","130.87","-5.30","100.10","105.76","-5.70","31.32","0.29","3.60","4.88","79","7","36","0"
"Antonio Brown","WR","TB","734","62","37.99","42","11.84","61.27%","0.68","544.12","545","2.61","4","120.50","108.05","12.40","99.50","89.06","10.40","190","4.52","121.10","108.49","12.60","100.10","89.49","10.60","4.32","0.00","0.60","0.43","63","1","6","0"
"Michael Gallup","WR","DAL","712","62","37.07","35","11.48","59.80%","0.57","541.24","445","3.74","2","91.50","113.66","-22.20","74.00","95.12","-21.10","123","3.51","91.50","113.66","-22.20","74.00","95.12","-21.10","0.00","0.00","0.00","0.00","62","0","0","0"
"Kendrick Bourne","WR","NE","586","66","44.37","52","8.88","67.23%","0.79","540.46","776","2.39","5","159.60","112.73","46.90","133.60","90.55","43.10","363","6.98","171.30","118.66","52.60","145.30","96.47","48.80","51.12","0.13","11.70","5.92","77","11","117","0"
"Marquez Valdes-Scantling","WR","GB","978","54","28.75","26","18.11","53.24%","0.48","538.78","430","3.95","3","87.00","106.30","-19.30","74.00","91.93","-17.90","146","5.62","87.00","106.30","-19.30","74.00","91.93","-17.90","0.00","0.00","0.00","0.00","54","0","0","0"
"Rashod Bateman","WR","BAL","578","64","42.98","44","9.03","67.16%","0.69","534.59","493","1.94","1","99.30","108.06","-8.80","77.30","86.57","-9.30","159","3.61","99.30","108.06","-8.80","77.30","86.57","-9.30","0.00","0.00","0.00","0.00","64","0","0","0"
"Tyler Higbee","TE","LAR","403","77","54.26","55","5.23","70.46%","0.71","525.62","505","4.43","3","123.50","133.38","-9.90","96.00","106.25","-10.30","268","4.87","123.50","133.38","-9.90","96.00","106.25","-10.30","0.00","0.00","0.00","0.00","77","0","0","0"
"Hunter Henry","TE","NE","653","69","41.30","45","9.46","59.86%","0.65","525.39","517","6.62","9","150.70","133.54","17.20","128.20","112.89","15.30","134","2.98","150.70","133.54","17.20","128.20","112.89","15.30","0.00","0.00","0.00","0.00","69","0","0","0"
"Allen Robinson II","WR","CHI","702","62","38.36","36","11.32","61.88%","0.58","525.01","388","2.60","1","80.80","106.45","-25.60","62.80","87.27","-24.50","101","2.81","80.80","106.45","-25.60","62.80","87.27","-24.50","0.00","0.00","0.00","0.00","62","0","0","0"
"Zach Pascal","WR","IND","596","67","42.99","37","8.90","64.16%","0.55","524.26","387","4.59","3","93.70","122.96","-29.30","75.20","101.47","-26.30","119","3.22","95.80","124.23","-28.40","77.30","102.74","-25.40","9.48","0.05","2.10","1.27","69","2","21","0"
"Bryan Edwards","WR","LV","776","54","30.99","30","14.37","57.39%","0.56","522.39","508","4.04","3","98.80","107.44","-8.60","83.80","91.95","-8.10","172","5.73","98.80","107.76","-9.00","83.80","92.26","-8.50","3.19","0.00","0.00","0.32","55","1","0","0"
"DeAndre Hopkins","WR","ARI","788","64","36.26","42","12.31","56.66%","0.66","521.74","572","5.98","8","147.20","124.32","22.90","126.20","106.19","20.00","140","3.33","147.20","124.32","22.90","126.20","106.19","20.00","0.00","0.00","0.00","0.00","64","0","0","0"
"Jamison Crowder","WR","NYJ","432","70","49.45","50","6.17","70.64%","0.71","517.05","471","1.98","2","109.10","113.01","-3.90","84.10","88.28","-4.20","174","3.48","109.10","113.01","-3.90","84.10","88.28","-4.20","0.00","0.00","0.00","0.00","70","0","0","0"
"Darius Slayton","WR","NYG","736","55","33.15","24","13.38","60.27%","0.44","516.56","310","1.99","1","61.00","96.77","-35.80","49.00","80.19","-31.20","63","2.63","59.70","97.31","-37.60","47.70","80.74","-33.00","4.91","0.01","-1.30","0.55","56","1","-13","0"
"Austin Ekeler","RB","LAC","137","82","64.38","65","1.67","78.51%","0.79","511.43","612","2.27","7","168.20","129.14","39.10","135.70","96.95","38.70","596","9.17","318.90","256.85","62.00","286.40","224.66","61.70","773.79","8.39","150.70","127.71","272","190","847","11"
"Najee Harris","RB","PIT","-15","90","70.84","70","-0.17","78.71%","0.78","495.94","440","2.92","3","132.00","137.96","-6.00","97.00","102.54","-5.50","474","6.77","291.20","310.58","-19.40","256.20","275.17","-19.00","1,291.76","7.24","159.20","172.63","386","296","1,172","7"
"Evan Engram","TE","NYG","360","68","48.85","45","5.29","71.83%","0.66","492.70","404","2.18","3","103.40","111.20","-7.80","80.90","86.78","-5.90","183","4.07","103.10","114.00","-10.90","80.60","89.58","-9.00","1.19","0.45","-0.30","2.80","69","1","-3","0"
"Leonard Fournette","RB","TB","67","84","66.58","69","0.80","79.26%","0.82","492.50","454","2.69","2","126.40","131.97","-5.60","91.90","98.68","-6.80","449","6.51","255.60","251.12","4.50","221.10","217.83","3.30","739.04","7.54","129.20","119.16","264","180","812","8"
"Deonte Harris","WR","NO","538","55","36.81","33","9.78","66.93%","0.60","484.27","546","1.00","3","105.60","91.23","14.40","89.10","72.82","16.30","233","7.06","108.80","93.21","15.60","92.30","74.80","17.50","17.26","0.04","3.20","1.98","59","4","32","0"
"Quez Watkins","WR","PHI","682","55","33.59","38","12.40","61.07%","0.69","480.78","563","2.94","0","94.30","99.28","-5.00","75.30","82.49","-7.20","197","5.18","94.60","99.82","-5.20","75.60","83.03","-7.40","4.51","0.01","0.30","0.54","56","1","3","0"
"Braxton Berrios","WR","NYJ","332","65","46.78","46","5.11","71.97%","0.71","476.13","409","1.87","2","98.90","105.64","-6.70","75.90","82.25","-6.40","242","5.26","114.90","113.90","1.00","91.90","90.51","1.40","25.75","0.95","16.00","8.26","72","7","40","2"
"Pat Freiermuth","TE","PIT","362","70","48.56","54","5.17","69.37%","0.77","463.81","444","4.69","7","140.40","123.06","17.30","113.40","98.78","14.60","221","4.09","140.40","123.06","17.30","113.40","98.78","14.60","0.00","0.00","0.00","0.00","70","0","0","0"
"Dawson Knox","TE","BUF","486","66","42.26","46","7.36","64.02%","0.70","461.58","538","5.42","9","153.80","120.95","32.80","130.80","99.82","31.00","247","5.37","153.80","120.95","32.80","130.80","99.82","31.00","0.00","0.00","0.00","0.00","66","0","0","0"
"Keelan Cole","WR","NYJ","664","48","27.94","25","13.83","58.20%","0.52","459.65","395","2.14","0","64.50","86.76","-22.30","52.00","72.79","-20.80","53","2.12","64.50","86.76","-22.30","52.00","72.79","-20.80","0.00","0.00","0.00","0.00","48","0","0","0"
"Adam Humphries","WR","WAS","405","60","41.63","40","6.75","69.39%","0.67","459.46","380","1.71","0","78.00","97.85","-19.80","58.00","77.03","-19.00","150","3.75","78.00","97.85","-19.80","58.00","77.03","-19.00","0.00","0.00","0.00","0.00","60","0","0","0"
"Jerry Jeudy","WR","DEN","466","51","34.90","36","9.14","68.42%","0.71","455.84","437","0.94","0","79.70","86.13","-6.40","61.70","68.68","-7.00","182","5.06","80.00","87.02","-7.00","62.00","69.57","-7.60","8.85","0.00","0.30","0.89","53","2","3","0"
"Cordarrelle Patterson","WR","ATL","205","68","50.72","51","3.01","74.58%","0.75","451.29","547","2.02","5","135.70","107.99","27.70","110.20","82.63","27.60","380","7.45","232.40","200.40","32.00","206.90","175.04","31.90","630.74","4.89","96.70","92.41","217","149","607","6"
"Nico Collins","WR","HOU","494","53","34.43","30","9.32","64.96%","0.57","443.71","381","2.62","1","74.10","94.54","-20.40","59.10","77.33","-18.20","119","3.97","74.10","94.54","-20.40","59.10","77.33","-18.20","0.00","0.00","0.00","0.00","53","0","0","0"
"Kadarius Toney","WR","NYG","367","57","40.34","39","6.44","70.77%","0.68","443.59","420","1.63","0","81.00","94.51","-13.50","61.50","74.34","-12.80","228","5.85","81.60","96.59","-15.00","62.10","76.42","-14.30","15.04","0.10","0.60","2.08","60","3","6","0"
"Cedrick Wilson","WR","DAL","490","55","35.56","40","8.91","64.66%","0.73","442.87","483","2.72","4","112.30","96.16","16.10","92.30","78.38","13.90","225","5.63","113.40","97.09","16.30","93.40","79.31","14.10","7.81","0.02","1.10","0.92","57","2","11","0"
